Kind,Name,File,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,AvgCyclomatic,CCViolDensityCode,CCViolDensityLine,CountCCViol,CountCCViolType,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFile,CountDeclFileCode,CountDeclFileHeader,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodConst,CountDeclMethodFriend,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountOutput,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,Cyclomatic,MaxCyclomatic,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic
Struct,"AccInf",D:\download\autoware-1.4.0\autoware-1.4.0\ros\src\computing\planning\motion\packages\ff_waypoint_follower\include\HevCnt.h,0,0,0,0,0,,,,,0,0,0,,0,0,,,,,0,4,0,0,4,0,0,0,0,0,0,0,,6,0,6,1,0,0,0,0,,,4,4,0,0,,0,0,0,0,0.00,0
Static Function,"Actual_Hue",D:\download\autoware-1.4.0\autoware-1.4.0\ros\src\computing\perception\detection\packages\road_wizard\nodes\region_tlr\TrafficLightDetector.h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,0,4,1,1,0,0,0,1,1,1,0,0,1,1,,,0,,0.00,
Static Function,"Actual_Sat",D:\download\autoware-1.4.0\autoware-1.4.0\ros\src\computing\perception\detection\packages\road_wizard\nodes\region_tlr\TrafficLightDetector.h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,0,4,1,1,0,0,0,1,1,1,0,0,1,1,,,0,,0.00,
Static Function,"Actual_Val",D:\download\autoware-1.4.0\autoware-1.4.0\ros\src\computing\perception\detection\packages\road_wizard\nodes\region_tlr\TrafficLightDetector.h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,0,4,1,1,0,0,0,1,1,1,0,0,1,1,,,0,,0.00,
Function,"AddQueue",D:\download\autoware-1.4.0\autoware-1.4.0\ros\src\sensing\drivers\imu\packages\memsic\nodes\vg440\vg440_node.cpp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,16,0,16,2,9,1,0,0,4,7,8,1,0,7,2,,,1,,0.06,
Struct,"Area",D:\download\autoware-1.4.0\autoware-1.4.0\ros\src\data\packages\map_file\nodes\points_map_loader\points_map_loader.cpp,0,0,0,0,0,,,,,0,0,0,,0,0,,,,,6,7,0,0,7,0,0,0,0,0,0,0,,9,0,9,1,0,0,0,0,,,7,7,0,0,,0,0,0,0,0.00,0
Struct,"Area",D:\download\autoware-1.4.0\autoware-1.4.0\ros\src\util\packages\map_tools\nodes\pcd_arealist\pcd_arealist.cpp,0,0,0,0,0,,,,,0,0,0,,0,0,,,,,5,7,0,0,7,0,0,0,0,0,0,0,,9,0,9,1,0,0,0,0,,,7,7,0,0,,0,0,0,0,0.00,0
Struct,"AreaClass",D:\download\autoware-1.4.0\autoware-1.4.0\ros\src\util\packages\sample_data\nodes\sample_vector_map\sample_vector_map.cpp,0,0,0,0,0,,,,,0,0,0,,0,0,,,,,0,3,0,0,3,0,0,0,0,0,0,0,,5,0,5,1,0,0,0,0,,,3,3,0,0,,0,0,0,0,0.00,0
Struct,"AreaClass",D:\download\autoware-1.4.0\autoware-1.4.0\ui\oculus\ofw\src\vector_map.h,0,0,0,0,0,,,,,0,0,0,,0,0,,,,,3,3,0,0,3,0,0,0,0,0,0,0,,5,0,5,1,0,0,0,0,,,3,3,0,0,,0,0,0,0,0.00,0
Class,"AssignmentProblemSolver",D:\download\autoware-1.4.0\autoware-1.4.0\ros\src\computing\perception\detection\packages\lidar_tracker\nodes\kf_lidar_track\includes\HungarianAlg.h,52,2,44,6,10,,,,,0,1,0,,0,0,,,,,14,0,0,0,0,13,13,0,0,10,0,3,,699,31,595,126,295,88,0,0,,,416,121,9,311,,46,0,7,0,0.15,129
